product_id|brand|canonical_product|publish_gate|repo_media_status|manifest_key|featured_image|gallery|desktop_asset|mobile_asset|alt|source|mapping_confidence|notes
4|One Today|Kem Kỳ Tế Bào Da Chết - 60g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|Product Truth evidence image is identity evidence, not a product packshot
5|One Today|Kem Trắng Da Mặt 3 In 1 - 5g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
6|One Today|Kem Trắng Da Ngừa Mụn 3 Tác Dụng - 8g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
8|One Today|Kem Trắng Da Mặt Ngọc Trai - 20g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
9|One Today|Kem Chống Nắng Dưỡng Trắng Da SPF50+ - 15g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
11|One Today|Kem Trắng Da Ban Ngày - 15g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
12|One Today|Kem Trắng Da Ban Đêm - 15g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
13|One Today|Kem Dưỡng Trắng Giúp Mờ Tàn Nhang - Đồi Mồi Cao Cấp - 15g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
14|One Today|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da - 20g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
15|One Today|Kem Giúp Mờ Nám Cao Cấp - 15g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
16|One Today|Kem Giúp Mờ Nám - 8g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
17|One Today|Sữa Rửa Mặt Sáng Da Ngừa Mụn - 50g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
19|One Today|Kem Dưỡng Trắng Da Toàn Thân - 80g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
20|One Today|Kem Giúp Mờ Nám - Mụn, Trắng Da 3 Tác Dụng Cao Cấp - 15g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
21|One Today|Kem Dưỡng Trắng Giúp Mờ Tàn Nhang - Đồi Mồi Cao Cấp - 30g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
75|Hatagold|Kem Dưỡng Trắng Da Toàn Thân B5 - 100g|PUBLISH_ALLOWED|MISSING_ASSET||UNKNOWN_LIVE_CMS|NO_MANIFEST|MISSING|MISSING|MISSING|NONE|NONE|No deterministic product asset in importer manifest
