key,source_index,source_filename,brand,product_name,pack_size,poster_filename,status,categories
initial-1,0,01-havigold-bach-ngoc-lang-arbutin.jpg,HAVIGOLD,Kem dưỡng trắng da toàn thân,230g,ddg-havigold-bach-ngoc-lang-arbutin-kem-duong-trang-da-toan-than-230g.jpg,READY,Chăm sóc cơ thể | Dưỡng sáng & đều màu
initial-2,0,02-havigold-bach-ngoc-lang-body-cream.jpg,HAVIGOLD,Kem dưỡng trắng da toàn thân,90g,ddg-havigold-bach-ngoc-lang-kem-duong-trang-da-toan-than-90g.jpg,READY,Chăm sóc cơ thể | Dưỡng sáng & đều màu
initial-3,0,03-mu-trom-tan-gia-khang-cream.jpg,Mủ Trôm Tân Gia Khang,Kem trắng da chống nắng,6g,ddg-mu-trom-tan-gia-khang-kem-trang-da-chong-nang-6g.jpg,READY,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chống nắng
initial-4,0,04-mu-trom-tan-gia-khang-beauty.jpg,Mủ Trôm Tân Gia Khang,Kem trắng da 3 trong 1,5g,ddg-mu-trom-tan-gia-khang-kem-trang-da-3-trong-1-5g.jpg,READY,Chăm sóc da mặt | Dưỡng sáng & đều màu
initial-5,0,05-mu-trom-tan-gia-khang-set.jpg,Mủ Trôm Tân Gia Khang,"Kem giúp mờ nám, trắng da",10g,ddg-mu-trom-tan-gia-khang-kem-giup-mo-nam-trang-da-10g.jpg,READY,Chăm sóc da mặt | Dưỡng sáng & đều màu
initial-6,0,06-mu-trom-tan-gia-khang-skincare.jpg,Mủ Trôm Tân Gia Khang,Kem trắng da ngừa mụn 3 tác dụng,6g,ddg-mu-trom-tan-gia-khang-kem-trang-da-ngua-mun-3-tac-dung-6g.jpg,READY,Chăm sóc da mặt | Dưỡng sáng & đều màu | Da có xu hướng nổi mụn
initial-7,0,07-mu-trom-tan-gia-khang-cream-gold.jpg,Mủ Trôm Tân Gia Khang,Kem dưỡng trắng giúp mờ dấu hiệu lão hóa da,6g,ddg-mu-trom-tan-gia-khang-kem-duong-trang-giup-mo-dau-hieu-lao-hoa-da-6g.jpg,READY,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chăm sóc dấu hiệu lão hóa
initial-8,0,08-mu-trom-tan-gia-khang-beauty-gold.jpg,Mủ Trôm Tân Gia Khang,"Kem giúp mờ nám, trắng da",6g,ddg-mu-trom-tan-gia-khang-kem-giup-mo-nam-trang-da-6g.jpg,READY,Chăm sóc da mặt | Dưỡng sáng & đều màu
initial-9,0,09-mu-trom-tan-gia-khang-product.jpg,Mủ Trôm Tân Gia Khang,Bộ đôi kem dưỡng da,6g mỗi hũ,ddg-mu-trom-tan-gia-khang-bo-doi-kem-duong-da-6g-moi-hu.jpg,READY,Chăm sóc da mặt
source-11,11,1787281898438_8276717302965400709_8276717302965400709_94a92bab1224856c107b06a9985f9575.jpg,Mủ Trôm Tân Gia Khang,Kem trắng da mặt đa chức năng,30g,ddg-mu-trom-tan-gia-khang-kem-trang-da-mat-da-chuc-nang-30g.jpg,READY,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-10,10,1787281898319_8276717302965400709_8276717302965400709_058eeacf950a82d5fd28d34935e989a8.jpg,Mủ Trôm Tân Gia Khang,Kem dưỡng trắng giúp mờ các dấu hiệu lão hóa da,18g,ddg-mu-trom-tan-gia-khang-kem-duong-trang-giup-mo-cac-dau-hieu-lao-hoa-da-18g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chăm sóc dấu hiệu lão hóa
source-12,12,1787281898554_8276717302965400709_8276717302965400709_99a0832c55678cc12d8dc110af6bf467.jpg,Mủ Trôm Tân Gia Khang,Kem dưỡng trắng da toàn thân,80g,ddg-mu-trom-tan-gia-khang-kem-duong-trang-da-toan-than-80g.jpg,READY_FOR_DESIGN,Chăm sóc cơ thể | Dưỡng sáng & đều màu
source-13,13,1787281898670_8276717302965400709_8276717302965400709_08a473794d41bca045e6e38e49636e0c.jpg,Mủ Trôm Tân Gia Khang,"Kem trắng da, giúp mờ tàn nhang - đồi mồi",6g,ddg-mu-trom-tan-gia-khang-kem-trang-da-giup-mo-tan-nhang-doi-moi-6g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-14,14,1787281898783_8276717302965400709_8276717302965400709_a3a6c31e9d34d15dc57f58a651360c7a.jpg,Mủ Trôm Tân Gia Khang,"Kem trắng da, giúp mờ tàn nhang - đồi mồi",10g,ddg-mu-trom-tan-gia-khang-kem-trang-da-giup-mo-tan-nhang-doi-moi-10g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-15,15,1787281868438_8276717302965400709_8276717302965400709_0e33332d19db33ea249135e8b4667cb5.jpg,Ever Today,Kem giúp mờ nám - thâm 3 tác dụng,6g,ddg-ever-today-kem-giup-mo-nam-tham-3-tac-dung-6g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-16,16,1787281868486_8276717302965400709_8276717302965400709_c95a46a36dc16031a39f96f71d28cce2.jpg,Ever Today,"Kem giúp mờ nám - mụn, trắng da cao cấp",15g,ddg-ever-today-kem-giup-mo-nam-mun-trang-da-cao-cap-15g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Da có xu hướng nổi mụn
source-17,17,1787281868535_8276717302965400709_8276717302965400709_e7ae4b42d54141d5553705be2d6b8f60.jpg,Ever Today,Kem trắng da chống nắng,6g,ddg-ever-today-kem-trang-da-chong-nang-6g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Chống nắng
source-18,18,1787281868399_8276717302965400709_8276717302965400709_b2950725b4b173d1bac34fa16597b265.jpg,Ever Today,Kem trắng da mặt ngọc trai,15g,ddg-ever-today-kem-trang-da-mat-ngoc-trai-15g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-19,19,1787281868583_8276717302965400709_8276717302965400709_d093fc39fd1dd9c3b64cc7ce0079f6c0.jpg,Ever Today,"Kem giúp mờ nám, tàn nhang - đồi mồi cao cấp",15g,ddg-ever-today-kem-giup-mo-nam-tan-nhang-doi-moi-cao-cap-15g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-20,20,1787281868630_8276717302965400709_8276717302965400709_e441915784c48cdab13b869067fa1773.jpg,Ever Today,Kem giúp mờ nám - tàn nhang - đồi mồi,6g,ddg-ever-today-kem-giup-mo-nam-tan-nhang-doi-moi-6g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
source-21,21,1787109424795_8276717302965400709_8276717302965400709_5f83794d74440b1e395086b3753b97b9.jpg,Cream X2,"Kem giúp mờ nám - mụn, trắng da",10g,ddg-cream-x2-kem-giup-mo-nam-mun-trang-da-10g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Da có xu hướng nổi mụn
source-22,22,1787109424823_8276717302965400709_8276717302965400709_b6270ca9e52f3b09a41fa1038449f309.jpg,Cream X2,Kem trắng da ngừa mụn 3 tác dụng,6g,ddg-cream-x2-kem-trang-da-ngua-mun-3-tac-dung-6g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu | Da có xu hướng nổi mụn
source-23,23,1787109424853_8276717302965400709_8276717302965400709_9cbb61545b41adcf79304539f22c327a.jpg,Cream X2,Kem giúp mờ nám,10g,ddg-cream-x2-kem-giup-mo-nam-10g.jpg,READY_FOR_DESIGN,Chăm sóc da mặt | Dưỡng sáng & đều màu
